"","sex","age","desexed","purebred","gaze_follow","training_score","aggression_score","fear_score","separation_score","excitability_score","attachment_score","miscellaneous_score","ostensive","ostensive_binary","nonostensive","nonostensive_binary","os_best"
"387",1,2.2,1,1,3,2.375,0.0833333333333333,0.944444444444444,0.5,1.16666666666667,1.66666666666667,0.615384615384615,0.5,0,0.5,0,0
"388",1,3.8,1,2,4,2.625,0.0434782608695652,0.777777777777778,0.125,0.666666666666667,2,0.185185185185185,0.25,0,0.5,0,1
"389",1,6,1,2,4,3.57142857142857,0.227272727272727,0.722222222222222,0,0.5,1,0.521739130434783,0.5,0,0.375,0,0
"390",2,1.8,1,1,1,2.5,0,0.235294117647059,0.25,1.66666666666667,0.833333333333333,0.703703703703704,0.5,0,0.5,0,0
"391",1,1,2,1,3,2.57142857142857,0.230769230769231,0.0588235294117647,1.875,2.66666666666667,3.33333333333333,1.46153846153846,0.375,0,0.625,1,1
"392",2,8.1,1,2,5,2.66666666666667,0.285714285714286,0,0,3,2.66666666666667,1.28,0.5,0,0.25,0,0
"393",1,3.9,1,2,2,1.75,0.346153846153846,0.555555555555556,0,0.5,0.833333333333333,0.111111111111111,0.625,1,0.75,1,1
"394",1,8.9,1,1,2,2.25,0.5,0.277777777777778,0.5,1.33333333333333,1.16666666666667,0.296296296296296,1,1,0.875,1,0
"395",1,4.9,1,2,5,2.125,0.478260869565217,0.25,0.5,1.33333333333333,1.83333333333333,0.592592592592593,0.5,0,0.5,0,0
"396",1,8.8,1,2,5,2.75,0.458333333333333,2.125,0.75,1.5,1.66666666666667,0.576923076923077,0.75,1,0.5,0,0
"397",1,1.8,2,1,3,2.25,1.11111111111111,2.29411764705882,2.375,4,4,1.77777777777778,0.75,1,0.375,0,0
"398",2,8,1,2,4,2.375,0.444444444444444,1.22222222222222,0,1.83333333333333,1.66666666666667,0.333333333333333,0.375,0,0.375,0,0
"399",1,9.3,1,1,3,2,0.185185185185185,0.611111111111111,0.125,1.66666666666667,1.33333333333333,0.37037037037037,0.5,0,0.5,0,0
"400",1,4.2,1,1,2,2.14285714285714,0.315789473684211,0.705882352941177,0,1.33333333333333,1.5,0.555555555555556,0.75,1,0.375,0,0
"401",1,5,1,1,5,3.125,0.925925925925926,0.5,3,3.33333333333333,3.33333333333333,1.59259259259259,0.375,0,0.25,0,0
"402",1,6.4,1,2,2,2.125,0.851851851851852,1.22222222222222,3.5,1.66666666666667,1,0.62962962962963,0.125,0,0.375,0,1
"403",2,6.9,1,2,3,2.625,0.666666666666667,2.44444444444444,1.33333333333333,1.33333333333333,1.33333333333333,0.814814814814815,NA,NA,NA,NA,NA
"404",1,1.9,2,1,4,2.375,0.851851851851852,0.529411764705882,0.75,4,3.83333333333333,1.48,0.375,0,0.25,0,0
"405",2,6.8,1,2,4,2.42857142857143,0.45,0.888888888888889,0,2.4,1,0.777777777777778,0.5,0,0.5,0,0
